"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Google Search for MoroSystems and Kariéra Page Test","2","0","","0"
"2","","0","Google Search for MoroSystems","0","0","","0"
